#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Nov 10 11:41:43 2023

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       esquematicoAAAAAAAAAAAAAAA_map.ncd
#OUTPUT FILE:      esquematicoAAAAAAAAAAAAAAA_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,weightInKilogramsInteger<4>,IOB,IO_L8N_T1_AD14N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A3,,IOB33S,IO_L4N_T0_35,UNUSED,,35,,,,,,,,,
A4,,IOB33S,IO_L3N_T0_DQS_AD5N_35,UNUSED,,35,,,,,,,,,
A5,,IOB33M,IO_L3P_T0_DQS_AD5P_35,UNUSED,,35,,,,,,,,,
A6,,,VCCO_35,,,35,,,,,1.80,,,,
A7,,IOB33S,IO_L1N_T0_AD4N_35,UNUSED,,35,,,,,,,,,
A8,weightInKilogramsFraction<3>,IOB,IO_L2P_T0_AD8P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A9,weightInKilogramsFraction<4>,IOB,IO_L2N_T0_AD8N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A10,weightInKilogramsFraction<6>,IOB,IO_L3N_T0_DQS_AD1N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A11,,,GND,,,,,,,,,,,,
A12,weightInKilogramsFraction<10>,IOB,IO_L5N_T0_AD9N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
